;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Harju maakond;KUUSALU VALD;EHITUS;1175;1987;1696;138;60;93709;11688;38;61219;9059;85;430414;0;12733;80;35443
1;Harju maakond;KUUSALU VALD;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1229;1987;1678;286;67;93709;16421;34;61219;10798;129;1076341;286700;43705;61;31294
1;Harju maakond;KUUSALU VALD;VEONDUS JA LAONDUS;1083;1987;1733;66;37;93709;5322;23;61219;4051;43;471601;0;1704;52;23576
1;Harju maakond;KUUSALU VALD;MAJUTUS JA TOITLUSTUS;964;1987;1286;42;13;93709;3159;7;61219;2443;19;126025;0;9132;24;10483
1;Harju maakond;KUUSALU VALD;INFO JA SIDE;1700;1987;3378;355;68;93709;7933;13;61219;3479;118;1644464;0;3691;18;14146
1;Harju maakond;KUUSALU VALD;FINANTS- JA KINDLUSTUSTEGEVUS;4190;1987;2920;53;9;93709;1066;1;61219;730;12;1304728;0;4617;1;419
1;Harju maakond;KUUSALU VALD;KINNISVARAALANE TEGEVUS;659;1987;1417;96;16;93709;6953;4;61219;2934;27;159613;0;-4892;8;630
1;Harju maakond;KUUSALU VALD;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;1738;1987;2330;406;81;93709;14046;27;61219;7988;125;856106;0;3421;40;27765
1;Harju maakond;KUUSALU VALD;HALDUS- JA ABITEGEVUSED;1190;1987;1848;116;28;93709;5185;11;61219;3243;40;201356;0;4669;16;7388
1;Harju maakond;KUUSALU VALD;"AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS";1899;1987;2215;5;;93709;;;61219;;1;0;0;-48;345;265490
1;Harju maakond;KUUSALU VALD;HARIDUS;1489;1987;2265;65;10;93709;1420;7;61219;998;10;45159;0;-78;12;7260
1;Harju maakond;KUUSALU VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;1908;1987;2673;25;8;93709;1715;6;61219;1613;4;11946;0;-2095;79;63824
1;Harju maakond;KUUSALU VALD;KUNST, MEELELAHUTUS JA VABA AEG;1584;1987;1652;115;14;93709;2338;8;61219;1376;20;40436;0;3630;22;10502
1;Harju maakond;KUUSALU VALD;MUUD TEENINDAVAD TEGEVUSED;1165;1987;1365;149;16;93709;4429;11;61219;3685;10;73396;0;6309;38;19991
1;Harju maakond;KUUSALU VALD;Tegevusala määramata;;1987;1712;7;;93709;14;;61219;9;0;0;0;0;;
1;Harju maakond;LOKSA LINN;TÖÖTLEV TÖÖSTUS;1053;1987;1689;30;11;93709;7120;9;61219;5613;17;190939;0;12168;67;30144
1;Harju maakond;LOKSA LINN;EHITUS;1512;1987;1696;21;5;93709;11688;4;61219;9059;7;287082;0;30195;16;12084
1;Harju maakond;LOKSA LINN;HULGI- JA JAEKAUBANDUS, MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT;1243;1987;1678;25;12;93709;16421;7;61219;10798;12;341830;0;9281;24;13018
1;Harju maakond;LOKSA LINN;VEONDUS JA LAONDUS;1310;1987;1733;11;8;93709;5322;6;61219;4051;6;113352;0;4323;17;7627
